Energy,CO,NO2,PM10,PM25,SO2,O3,Temperatura (C),Prędkość wiatru (km/h),Zachmurzenie (%),Ciśnienie (hPa),Opady (mm),Śnieg (cm)
1.32,0.46,15.3,7.5,6.3,0.5,23.0,10.5,11.5,100.0,1014.3,0.0,0.0
1.53,0.52,19.55,6.25,6.7,0.6,21.7,10.4,9.0,100.0,1014.0,0.0,0.0
2.12,0.55,18.85,6.9,9.1,0.4,21.3,10.5,11.2,100.0,1013.6,0.0,0.0
0.94,0.59,17.45,9.2,9.0,0.5,21.6,10.5,9.7,100.0,1013.7,0.0,0.0
1.37,0.52,18.3,9.6,8.6,0.4,17.3,10.3,9.4,100.0,1013.6,0.0,0.0
0.91,0.54,17.6,9.55,8.8,0.4,13.5,10.3,8.3,100.0,1013.7,0.0,0.0
1.07000000001,0.46,15.4,10.45,8.4,0.7,11.1,10.2,8.3,100.0,1014.1,0.0,0.0
0.04999999999,0.54,17.95,11.9,10.0,0.5,8.6,9.9,7.6,100.0,1014.2,0.0,0.0
0.0,0.53,17.55,11.2,10.3,0.5,7.4,9.8,7.2,100.0,1014.1,0.0,0.0
0.0,0.51,14.45,11.05,10.8,0.6,8.2,9.8,5.8,100.0,1014.1,0.0,0.0
0.0,0.51,15.0,10.8,9.8,0.3,10.4,9.7,6.8,100.0,1014.1,0.0,0.0
0.0,0.58,17.0,9.85,9.5,0.5,10.8,9.7,6.8,100.0,1013.7,0.0,0.0
0.0,0.39,11.85,8.45,9.8,0.3,12.7,9.6,7.2,100.0,1013.4,0.0,0.0
0.0,0.35,12.0,8.05,9.5,0.4,13.8,9.6,6.8,100.0,1013.0,0.0,0.0
0.0,0.35,10.75,9.4,9.5,0.4,16.6,10.0,9.7,100.0,1012.8,0.0,0.0
0.0,0.24,6.6,9.4,9.2,0.4,17.5,9.9,9.4,100.0,1012.4,0.0,0.0
0.0,0.24,7.550000000000001,8.0,7.9,0.4,18.2,9.8,8.6,100.0,1012.5,0.0,0.0
0.0,0.23,4.95,8.850000000000001,8.0,0.3,22.2,9.6,8.3,100.0,1012.4,0.0,0.0
0.0,0.22,5.949999999999999,9.8,8.6,0.4,24.1,9.7,9.4,100.0,1012.6,0.0,0.0
0.0,0.2,6.0,9.85,8.7,0.2,26.1,9.7,10.1,100.0,1012.4,0.0,0.0
0.0,0.24,8.75,9.0,9.3,0.2,22.6,9.5,9.7,100.0,1012.6,0.0,0.0
0.35,0.25,9.5,7.95,6.9,0.2,23.6,9.4,9.7,100.0,1012.7,0.0,0.0
0.59,0.23,9.45,7.35,6.2,0.3,22.5,9.2,10.4,100.0,1012.6,0.0,0.0
1.27,0.22,9.2,8.3,7.6,0.3,21.5,9.2,9.4,100.0,1013.0,0.0,0.0
1.43,0.28,10.2,9.05,9.1,0.4,20.7,9.3,7.9,100.0,1013.2,0.0,0.0
2.81000000001,0.26,9.55,9.05,9.4,0.2,21.8,9.4,8.3,100.0,1013.1,0.0,0.0
3.42999999999,0.26,10.4,8.95,9.0,0.2,23.0,9.5,8.6,100.0,1012.8,0.0,0.0
2.94,0.27,10.7,8.850000000000001,8.0,0.2,23.5,9.8,9.0,100.0,1012.4,0.0,0.0
3.79,0.3,10.4,10.4,8.4,0.4,24.6,10.0,8.3,100.0,1012.2,0.0,0.0
1.98,0.29,11.95,10.15,9.0,0.2,25.5,10.2,7.6,100.0,1012.4,0.0,0.0
0.62,0.33,15.2,10.75,10.5,1.5,24.1,10.0,7.6,100.0,1012.8,0.0,0.0
0.02,0.35,16.8,12.25,11.8,0.5,19.5,9.6,4.7,100.0,1013.0,0.0,0.0
0.0,0.45,20.55,14.7,14.0,0.5,18.7,9.6,3.6,100.0,1013.1,0.0,0.0
0.0,0.41,18.85,16.5,13.0,0.4,20.9,9.7,4.3,100.0,1013.2,0.0,0.0
0.0,0.38,16.15,15.05,13.0,0.5,23.0,9.9,5.0,100.0,1013.1,0.0,0.0
0.0,0.37,17.3,13.95,13.3,0.4,13.9,10.0,4.0,100.0,1013.0,0.0,0.0
0.0,0.42,17.75,17.15,13.5,0.2,11.7,9.9,4.0,100.0,1012.9,0.0,0.0
0.0,0.32,13.65,18.1,14.6,0.3,13.5,9.8,5.0,100.0,1012.7,0.0,0.0
0.0,0.37,13.8,22.1,16.3,0.3,13.8,10.1,2.9,100.0,1012.5,0.0,0.0
0.0,0.34,11.45,19.0,18.4,0.5,14.5,10.1,1.8,100.0,1012.5,0.0,0.0
0.0,0.31,10.15,16.15,15.4,1.4,11.8,10.1,5.4,100.0,1012.8,0.0,0.0
0.0,0.29,9.65,15.7,13.1,1.4,10.2,10.1,7.2,100.0,1012.6,0.0,0.0
0.0,0.28,9.1,15.1,12.9,0.5,11.5,10.1,7.6,100.0,1012.8,0.0,0.0
0.0,0.31,14.15,18.3,13.3,1.1,6.5,10.1,8.6,100.0,1012.8,0.0,0.0
0.0,0.38,18.6,15.75,14.4,0.7,3.1,10.2,9.0,100.0,1013.3,0.0,0.0
0.52,0.41,18.15,19.15,13.8,1.3,3.2,10.5,7.2,100.0,1014.0,0.0,0.0
2.57,0.38,16.6,17.6,13.8,0.6,7.5,11.2,7.6,97.0,1013.3,0.0,0.0
6.33,0.39,14.75,17.7,12.3,1.1,16.5,12.5,7.6,100.0,1013.5,0.0,0.0
10.56,0.36,14.5,11.95,10.9,1.4,34.2,13.2,7.2,44.0,1013.5,0.0,0.0
13.49000000001,0.28,9.6,10.8,9.7,0.9,43.2,14.6,7.9,2.0,1012.7,0.0,0.0
12.55999999999,0.26,8.95,10.2,8.9,0.6,48.3,15.6,8.3,36.0,1012.5,0.0,0.0
12.37,0.26,8.5,8.149999999999999,7.7,0.3,51.9,16.2,7.2,17.0,1012.2,0.0,0.0
8.32000000001,0.33,12.5,7.85,7.7,0.4,51.4,16.3,4.0,33.0,1012.1,0.0,0.0
3.97,0.35,14.75,10.4,8.3,0.4,48.2,16.1,5.8,100.0,1012.4,0.0,0.0
1.66999999999,0.35,17.65,13.45,8.6,0.4,47.8,14.9,7.9,82.0,1012.5,0.0,0.0
0.4,0.33,21.45,17.05,9.5,1.2,33.3,13.6,7.9,43.0,1013.0,0.0,0.0
0.0,0.37,28.700000000000003,18.7,11.1,0.7,25.1,12.2,9.7,27.0,1013.3,0.0,0.0
0.0,0.42,29.3,18.3,12.0,0.9,19.5,11.5,12.6,74.0,1013.6,0.0,0.0
0.0,0.35,19.65,16.9,12.6,0.9,32.4,11.3,15.5,0.0,1013.6,0.0,0.0
0.0,0.29,12.2,14.35,9.5,0.6,42.4,11.2,16.2,18.0,1013.7,0.0,0.0
0.0,0.27,10.95,13.5,8.7,0.4,41.1,11.0,15.8,0.0,1013.6,0.0,0.0
0.0,0.27,8.3,11.5,8.3,0.4,46.1,11.0,16.9,0.0,1013.7,0.0,0.0
0.0,0.24,5.05,8.7,7.5,0.4,50.1,11.2,14.0,0.0,1013.5,0.0,0.0
0.0,0.24,4.5,8.8,7.5,0.4,49.8,11.3,15.1,5.0,1013.3,0.0,0.0
0.0,0.23,4.7,11.55,7.7,0.4,49.6,11.1,13.7,0.0,1013.1,0.0,0.0
0.0,0.23,3.95,11.85,8.2,0.5,48.3,11.2,13.0,81.0,1013.2,0.0,0.0
0.0,0.23,4.25,11.3,8.8,0.6,47.3,11.2,14.8,61.0,1013.5,0.0,0.0
0.0,0.24,6.699999999999999,11.75,9.1,0.8,45.7,11.3,15.8,56.0,1012.5,0.0,0.0
0.02,0.28,14.5,15.25,9.2,0.7,39.8,12.3,12.6,98.0,1013.2,0.0,0.0
2.06,0.3,25.6,16.4,8.9,0.7,29.3,13.7,19.8,6.0,1013.3,0.0,0.0
7.92,0.28,18.25,16.95,8.2,0.6,40.7,15.0,23.0,1.0,1012.7,0.0,0.0
12.89,0.26,9.9,13.9,7.7,0.6,53.9,16.6,23.4,90.0,1012.7,0.0,0.0
15.94,0.26,9.1,14.85,7.8,0.5,63.1,17.6,25.2,94.0,1012.1,0.0,0.0
17.51,0.23,7.800000000000001,13.65,6.9,1.0,67.9,18.2,25.9,56.0,1011.7,0.0,0.0
16.95,0.25,8.0,10.6,6.5,1.1,68.9,18.6,25.9,11.0,1011.2,0.0,0.0
14.9,0.24,9.25,17.25,6.5,0.9,70.6,18.5,26.6,61.0,1010.7,0.0,0.0
8.95,0.23,8.1,9.75,5.7,1.2,70.6,18.2,24.8,0.0,1010.5,0.0,0.0
3.26,0.24,9.35,10.85,5.8,2.3,70.7,17.4,22.3,0.0,1010.4,0.0,0.0
1.28000000001,0.23,10.3,11.0,6.1,6.6,69.5,16.2,19.4,0.0,1010.3,0.0,0.0
0.32999999999,0.25,12.6,11.25,6.8,6.2,66.8,15.2,19.4,0.0,1010.3,0.0,0.0
0.0,0.29,13.1,14.25,7.9,5.0,64.3,14.9,19.1,0.0,1010.0,0.0,0.0
0.0,0.28,12.75,11.0,8.9,4.3,60.4,14.7,14.0,0.0,1009.4,0.0,0.0
0.0,0.33,16.1,15.85,10.9,3.7,61.4,14.6,11.2,0.0,1009.2,0.0,0.0
0.0,0.28,10.35,10.95,8.0,2.7,67.8,14.6,11.2,0.0,1009.1,0.0,0.0
0.0,0.26,7.7,8.8,6.9,2.4,70.5,14.7,14.0,0.0,1008.8,0.0,0.0
0.0,0.24,8.2,8.399999999999999,6.6,2.1,68.3,14.7,15.5,0.0,1008.5,0.0,0.0
0.0,0.22,5.3,9.0,6.4,2.1,66.3,12.7,7.6,0.0,1008.2,0.0,0.0
0.0,0.22,4.95,6.75,6.3,2.1,66.1,12.8,8.6,28.0,1007.5,0.0,0.0
0.0,0.21,5.35,6.9,6.0,2.0,66.0,13.0,10.4,31.0,1007.0,0.0,0.0
0.0,0.21,4.9,6.95,6.3,2.2,63.6,13.6,11.5,1.0,1006.0,0.0,0.0
0.0,0.22,3.95,6.4,6.1,2.0,65.8,13.4,8.3,40.0,1005.4,0.0,0.0
0.0,0.25,11.85,6.9,6.5,2.0,61.7,13.1,7.6,91.0,1005.3,0.0,0.0
0.04,0.41,30.85,10.65,7.9,2.4,53.7,14.6,11.5,98.0,1005.2,0.0,0.0
1.78,0.27,18.8,8.95,7.0,2.6,55.2,16.1,14.4,98.0,1005.2,0.0,0.0
