Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g
2025-02-15 22:00:00,29.4,45.4,0.535,39.4,53.4,4.6
2025-02-15 23:00:00,27.4,36.8,0.467,29.4,56.6,3.4
2025-02-16 00:00:00,25.6,34.0,0.436,25.3,54.0,4.4
2025-02-16 01:00:00,22.3,28.1,0.372,23.1,56.4,3.4
2025-02-16 02:00:00,20.3,24.6,0.344,24.8,52.1,3.1
2025-02-16 03:00:00,20.2,24.1,0.366,26.3,47.0,2.7
2025-02-16 04:00:00,22.3,26.0,0.386,25.5,44.0,2.5
2025-02-16 05:00:00,23.9,28.1,0.376,25.2,41.4,1.7
2025-02-16 06:00:00,23.0,26.6,0.387,21.1,31.4,1.0
2025-02-16 07:00:00,25.3,29.3,0.399,25.9,20.1,1.5
2025-02-16 08:00:00,30.4,35.3,0.492,28.4,26.8,2.5
2025-02-16 09:00:00,34.4,40.8,0.502,24.5,27.8,6.4
2025-02-16 10:00:00,27.8,57.6,0.361,17.6,46.3,13.7
2025-02-16 11:00:00,27.6,90.9,0.306,17.7,67.5,4.3
2025-02-16 12:00:00,25.8,85.1,0.324,17.9,71.8,1.9
2025-02-16 13:00:00,18.5,59.5,0.299,16.8,73.4,1.8
2025-02-16 14:00:00,15.1,58.4,0.306,20.0,75.5,2.6
2025-02-16 15:00:00,14.0,47.7,0.268,19.3,73.6,3.5
2025-02-16 16:00:00,11.9,35.7,0.279,18.7,73.7,3.7
2025-02-16 17:00:00,11.7,25.8,0.268,19.5,70.3,1.8
2025-02-16 18:00:00,17.7,31.4,0.349,23.8,58.0,5.0
2025-02-16 19:00:00,27.7,48.9,0.45,,49.1,5.4
2025-02-16 20:00:00,17.8,24.7,0.377,38.6,57.8,1.6
2025-02-16 21:00:00,18.6,21.6,0.426,42.8,53.1,1.1
2025-02-16 22:00:00,20.0,23.3,0.383,30.9,53.6,1.4
2025-02-16 23:00:00,21.8,25.2,0.396,27.1,56.9,0.8
2025-02-17 00:00:00,23.3,26.9,0.402,27.5,52.8,1.1
2025-02-17 01:00:00,24.0,27.7,0.414,28.5,25.7,1.5
2025-02-17 02:00:00,31.2,36.0,0.506,39.5,7.3,2.0
2025-02-17 03:00:00,54.2,62.4,0.96,47.5,4.6,2.7
2025-02-17 04:00:00,65.9,75.6,1.166,42.3,4.8,3.8
2025-02-17 05:00:00,59.0,67.8,1.059,45.0,5.7,3.6
2025-02-17 06:00:00,60.9,70.1,1.341,45.4,2.1,2.5
2025-02-17 07:00:00,50.9,58.6,1.042,39.5,2.2,2.7
2025-02-17 08:00:00,58.9,68.5,1.506,54.3,4.8,4.1
2025-02-17 09:00:00,36.2,42.0,0.641,29.1,20.1,5.4
2025-02-17 10:00:00,30.9,35.9,0.52,30.3,45.9,3.6
2025-02-17 11:00:00,30.0,35.2,0.598,45.6,53.0,3.6
2025-02-17 12:00:00,20.2,53.7,0.511,44.7,72.1,1.0
2025-02-17 13:00:00,20.7,61.1,0.426,35.5,72.6,0.7
2025-02-17 14:00:00,23.4,75.7,0.48,37.3,76.4,0.5
2025-02-17 15:00:00,20.5,73.5,0.491,31.6,76.8,0.8
2025-02-17 16:00:00,20.7,56.8,0.606,51.5,71.9,1.0
2025-02-17 17:00:00,23.8,69.3,0.657,64.0,68.0,1.8
2025-02-17 18:00:00,32.0,56.5,0.682,66.1,53.6,5.6
2025-02-17 19:00:00,44.5,57.3,0.789,67.3,45.5,10.2
2025-02-17 20:00:00,54.6,66.4,0.927,54.8,32.1,5.2
2025-02-17 21:00:00,76.5,94.3,1.542,74.8,9.6,4.2
2025-02-17 22:00:00,88.9,108.0,1.84,76.1,7.9,7.1
2025-02-17 23:00:00,89.8,108.8,1.625,67.1,17.0,10.5
2025-02-18 00:00:00,91.8,107.4,1.561,59.7,12.8,11.4
2025-02-18 01:00:00,95.8,110.8,1.407,46.0,12.7,9.6
2025-02-18 02:00:00,98.2,113.4,1.364,41.9,12.8,5.8
2025-02-18 03:00:00,95.8,110.1,1.326,36.4,15.7,8.2
2025-02-18 04:00:00,75.9,87.4,1.04,27.4,18.7,6.4
2025-02-18 05:00:00,67.2,77.6,0.934,26.4,17.9,5.2
2025-02-18 06:00:00,59.0,68.8,0.845,37.8,15.6,4.0
2025-02-18 07:00:00,56.6,65.9,0.881,36.0,10.1,3.8
2025-02-18 08:00:00,56.4,66.2,0.901,39.6,11.7,4.3
2025-02-18 09:00:00,59.4,70.4,0.821,34.5,20.1,4.6
2025-02-18 10:00:00,58.5,75.6,0.778,40.2,28.7,17.7
2025-02-18 11:00:00,,,,,38.5,16.2
2025-02-18 12:00:00,,,0.386,26.4,66.5,4.5
2025-02-18 13:00:00,23.9,61.0,0.333,32.6,74.5,6.0
2025-02-18 14:00:00,24.0,54.1,0.349,31.4,73.6,5.1
2025-02-18 15:00:00,23.1,48.4,0.353,30.5,76.5,5.0
2025-02-18 16:00:00,22.1,41.0,0.396,39.4,73.9,4.5
2025-02-18 17:00:00,24.0,45.5,0.377,47.2,68.9,2.6
2025-02-18 18:00:00,34.6,55.2,0.543,55.1,52.5,2.8
2025-02-18 19:00:00,31.9,50.7,0.509,51.5,43.8,5.6
2025-02-18 20:00:00,,,,,61.0,3.8
2025-02-18 21:00:00,20.3,30.5,0.369,37.2,63.2,3.1
2025-02-18 22:00:00,19.3,27.0,0.332,28.7,61.4,3.4
2025-02-18 23:00:00,21.6,27.9,0.325,26.3,60.6,3.3
2025-02-19 00:00:00,25.5,31.4,0.352,20.5,58.9,3.7
